# Which MSigDB terms the Metabolic collection is made of.
#
# One term per line: MSigDB systematic id, tab, category. A line beginning "!"
# is a term that was JUDGED AND LEFT OUT on purpose — it is recorded so that
# derive-metabolic.mjs's staleness check can tell "nobody has looked at this
# yet" from "somebody looked and said no", and so the second is arguable in a
# diff rather than invisible.
#
# HOW THIS WAS MADE
#
# Every one of the 15,646 term names in the pathway and ontology collections was
# read and judged against written criteria — the union across human and mouse,
# since they share systematic ids, so each term is decided once. It replaced a
# name-matching vocabulary, which is only ever as good as the correlation
# between what a pathway is called and what it is about. That correlation fails
# exactly where it matters: the vocabulary missed KEGG_PENTOSE_AND_
# GLUCURONATE_INTERCONVERSIONS, a metabolic map with no metabolic word in it;
# REACTOME_COMPLEX_I_BIOGENESIS and REACTOME_MITOCHONDRIAL_BIOGENESIS;
# KEGG_INSULIN_SIGNALING_PATHWAY and KEGG_PPAR_SIGNALING_PATHWAY, whose whole
# subject is metabolic control; and KEGG_TYPE_II_DIABETES_MELLITUS. No
# vocabulary catches those without catching half of signalling with them.
#
# WHAT COUNTS AS METABOLIC
#
# The biochemistry of small molecules — synthesis, breakdown, interconversion —
# energy metabolism, redox and one-carbon, storage and mobilisation, the
# transport of metabolites, the pathways that REGULATE metabolism, metabolic
# disease, metabolic enzyme activities, and the compartments that exist to do
# metabolism. Not: macromolecule turnover, which GO also calls metabolism
# (protein, RNA and DNA metabolic processes, translation, proteasome); the
# top-of-hierarchy terms that cover everything; or signalling and development
# where a metabolite is incidental.
#
# ONE STATEMENT, ONE SET
#
# The library said "oxidative phosphorylation" 60 times over, in 60 sets
# that are the same claim at different resolutions — every electron-transfer
# step, every respiratory complex's assembly, each database's own copy. That is
# 60 rows in a results table for one finding and 60 of the tests the
# Benjamini-Hochberg correction is spread across. The family is consolidated to
# four: Hallmark's and KEGG's oxidative phosphorylation, Reactome's aerobic
# respiration, and mitochondrial biogenesis, which is a different question from
# respiring. Terms whose subject is another family that merely happens in the
# mitochondrion — beta-oxidation, the TCA cycle, iron-sulfur clusters,
# mitochondrial fatty acid synthesis — stay with their own kind.
#
# Ribosomes and translation needed no consolidation: they are macromolecule
# turnover and the criteria never admitted them. The one survivor,
# GOBP_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS, is genuine small-molecule
# metabolism and is named for what it is NOT.
#
# 2813 terms included, 428 recorded as deliberately excluded.

GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_OXIDATION	regulation
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_GLUCOCORTICOID_SECRETION	regulation
GOBP_NEGATIVE_REGULATION_OF_GLUCONEOGENESIS	regulation
GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_INSULIN_SECRETION	regulation
GOBP_NEGATIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	regulation
GOBP_NEGATIVE_REGULATION_OF_INTESTINAL_ABSORPTION	regulation
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_IRON_ION_TRANSMEMBRANE_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_IRON_ION_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION	regulation
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_LIPID_STORAGE	regulation
GOBP_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	regulation
GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	regulation
GOBP_NEGATIVE_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	regulation
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_RECEPTOR_MEDIATED_GLUCOCORTICOID_SIGNALING_PATHWAY	regulation
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT	regulation
GOBP_NEGATIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	regulation
GOBP_NEGATIVE_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	regulation
GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_NUTRIENT_LEVELS	regulation
GOBP_NEGATIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	other
GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	regulation
GOBP_NEGATIVE_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_NEGATIVE_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	lipid
GOBP_NEGATIVE_REGULATION_OF_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	lipid
GOBP_NEGATIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	lipid
GOBP_NEGATIVE_REGULATION_OF_STEROL_TRANSPORT	transport
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING	regulation
GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING	regulation
GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	lipid
GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	lipid
GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	lipid
GOBP_NEGATIVE_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	lipid
GOBP_NEGATIVE_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	cofactor
GOBP_NEUTRAL_AMINO_ACID_TRANSPORT	amino-acid
GOBP_NEUTRAL_LIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS	lipid
GOBP_NEUTRAL_LIPID_METABOLIC_PROCESS	lipid
GOBP_NICOTINAMIDE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	cofactor
GOBP_NICOTINATE_METABOLIC_PROCESS	cofactor
GOBP_NITROGEN_CYCLE_METABOLIC_PROCESS	other
GOBP_NITROGEN_UTILIZATION	other
GOBP_NON_PROTEINOGENIC_AMINO_ACID_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_NON_PROTEINOGENIC_AMINO_ACID_CATABOLIC_PROCESS	amino-acid
GOBP_NON_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS	other
GOBP_NOREPINEPHRINE_BIOSYNTHETIC_PROCESS	other
GOBP_NOREPINEPHRINE_METABOLIC_PROCESS	other
GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_NUCLEOBASE_CATABOLIC_PROCESS	nucleotide
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_CATABOLIC_PROCESS	nucleotide
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION	nucleotide
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	nucleotide
GOBP_NUCLEOBASE_METABOLIC_PROCESS	nucleotide
GOBP_NUCLEOBASE_TRANSPORT	nucleotide
GOBP_NUCLEOSIDE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_METABOLIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_MONOPHOSPHATE_PHOSPHORYLATION	nucleotide
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_SALVAGE	nucleotide
GOBP_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_NUCLEOSIDE_TRANSPORT	transport
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	nucleotide
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	nucleotide
GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_NUCLEOTIDE_CATABOLIC_PROCESS	nucleotide
GOBP_NUCLEOTIDE_METABOLIC_PROCESS	nucleotide
GOBP_NUCLEOTIDE_SALVAGE	nucleotide
GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS	carbohydrate
GOBP_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	transport
GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_NUCLEOTIDE_TRANSPORT	transport
GOBP_NUTRIENT_STORAGE	storage
GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS	other
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	other
GOBP_OLIGOPEPTIDE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_OLIGOPEPTIDE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_OLIGOPEPTIDE_TRANSPORT	transport
GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_OLIGOSACCHARIDE_CATABOLIC_PROCESS	carbohydrate
GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS	carbohydrate
GOBP_OMEGA_HYDROXYLASE_P450_PATHWAY	lipid
GOBP_ONE_CARBON_COMPOUND_TRANSPORT	transport
GOBP_ONE_CARBON_METABOLIC_PROCESS	redox
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	other
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	other
GOBP_ORGANIC_ACID_METABOLIC_PROCESS	other
GOBP_ORGANIC_ACID_TRANSPORT	transport
GOBP_ORGANIC_ANION_TRANSPORT	transport
GOBP_ORGANIC_CATION_TRANSPORT	transport
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	transport
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	other
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS	other
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	transport
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	other
GOBP_ORNITHINE_METABOLIC_PROCESS	amino-acid
GOBP_ORNITHINE_TRANSPORT	amino-acid
GOBP_OXALATE_TRANSPORT	transport
GOBP_OXALOACETATE_METABOLIC_PROCESS	energy
GOBP_OXYGEN_METABOLIC_PROCESS	energy
GOBP_PANCREATIC_JUICE_SECRETION	other
GOBP_PANTOTHENATE_METABOLIC_PROCESS	cofactor
GOBP_PENTOSE_METABOLIC_PROCESS	carbohydrate
GOBP_PENTOSE_PHOSPHATE_SHUNT	energy
GOBP_PENTOSE_PHOSPHATE_SHUNT_NON_OXIDATIVE_BRANCH	energy
GOBP_PENTOSE_PHOSPHATE_SHUNT_OXIDATIVE_BRANCH	energy
GOBP_PEROXISOMAL_TRANSPORT	transport
GOBP_PEROXISOME_FISSION	compartment
GOBP_PEROXISOME_ORGANIZATION	compartment
GOBP_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	regulation
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	other
GOBP_PHENOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS	other
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	other
GOBP_PHENYLALANINE_TRANSPORT	amino-acid
GOBP_PHENYLPROPANOID_METABOLIC_PROCESS	other
GOBP_PHOSPHATE_ION_HOMEOSTASIS	other
GOBP_PHOSPHATE_ION_TRANSMEMBRANE_TRANSPORT	transport
GOBP_PHOSPHATE_ION_TRANSPORT	transport
GOBP_PHOSPHATIDIC_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHATIDIC_ACID_METABOLIC_PROCESS	lipid
GOBP_PHOSPHATIDYLCHOLINE_ACYL_CHAIN_REMODELING	lipid
GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHATIDYLCHOLINE_CATABOLIC_PROCESS	lipid
GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	lipid
GOBP_PHOSPHATIDYLETHANOLAMINE_ACYL_CHAIN_REMODELING	lipid
GOBP_PHOSPHATIDYLETHANOLAMINE_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS	lipid
GOBP_PHOSPHATIDYLGLYCEROL_ACYL_CHAIN_REMODELING	lipid
GOBP_PHOSPHATIDYLGLYCEROL_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS	lipid
GOBP_PHOSPHATIDYLINOSITOL_3_PHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHATIDYLINOSITOL_ACYL_CHAIN_REMODELING	lipid
GOBP_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION	lipid
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	lipid
GOBP_PHOSPHATIDYLINOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	lipid
GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS	lipid
GOBP_PHOSPHOCREATINE_METABOLIC_PROCESS	energy
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_PHOSPHOLIPID_CATABOLIC_PROCESS	lipid
GOBP_PHOSPHOLIPID_DEPHOSPHORYLATION	lipid
GOBP_PHOSPHOLIPID_EFFLUX	lipid
GOBP_PHOSPHOLIPID_HOMEOSTASIS	lipid
GOBP_PHOSPHOLIPID_METABOLIC_PROCESS	lipid
GOBP_PHOSPHOLIPID_TRANSFER_TO_MEMBRANE	lipid
GOBP_PHOSPHOLIPID_TRANSPORT	transport
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS	other
GOBP_PIGMENT_CATABOLIC_PROCESS	other
GOBP_PIGMENT_METABOLIC_PROCESS	other
GOBP_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE	lipid
GOBP_PLASMA_MEMBRANE_LACTATE_TRANSPORT	transport
GOBP_PLATELET_ACTIVATING_FACTOR_BIOSYNTHETIC_PROCESS	lipid
GOBP_PLATELET_ACTIVATING_FACTOR_METABOLIC_PROCESS	lipid
GOBP_POLYAMINE_BIOSYNTHETIC_PROCESS	other
GOBP_POLYAMINE_METABOLIC_PROCESS	other
GOBP_POLYAMINE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_POLYAMINE_TRANSPORT	transport
GOBP_POLYKETIDE_METABOLIC_PROCESS	other
GOBP_POLYOL_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_POLYOL_CATABOLIC_PROCESS	carbohydrate
GOBP_POLYOL_METABOLIC_PROCESS	carbohydrate
GOBP_POLYOL_TRANSMEMBRANE_TRANSPORT	transport
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	carbohydrate
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS	carbohydrate
GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	cofactor
GOBP_POSITIVE_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT	storage
GOBP_POSITIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	other
GOBP_POSITIVE_REGULATION_OF_AMINE_METABOLIC_PROCESS	other
GOBP_POSITIVE_REGULATION_OF_AMINE_TRANSPORT	transport
GOBP_POSITIVE_REGULATION_OF_AMINO_ACID_TRANSPORT	amino-acid
GOBP_POSITIVE_REGULATION_OF_BROWN_FAT_CELL_DIFFERENTIATION	storage
GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	carbohydrate
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	regulation
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX	lipid
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_STORAGE	storage
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	energy
GOBP_POSITIVE_REGULATION_OF_D_GLUCOSE_IMPORT	carbohydrate
GOBP_POSITIVE_REGULATION_OF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORT	carbohydrate
GOBP_POSITIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	regulation
GOBP_POSITIVE_REGULATION_OF_DOPAMINE_METABOLIC_PROCESS	other
GOBP_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	storage
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	energy
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION	energy
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_TRANSPORT	transport
GOBP_POSITIVE_REGULATION_OF_GLUCONEOGENESIS	energy
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	carbohydrate
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_BIOSYNTHETIC_PROCESS	storage
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS	storage
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	storage
GOBP_POSITIVE_REGULATION_OF_HEAT_GENERATION	energy
GOBP_POSITIVE_REGULATION_OF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	lipid
GOBP_POSITIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS	regulation
GOBP_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS	regulation
GOBP_POSITIVE_REGULATION_OF_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS	redox
GOBP_POSITIVE_REGULATION_OF_ICOSANOID_SECRETION	lipid
GOBP_POSITIVE_REGULATION_OF_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION	regulation
GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	regulation
GOBP_POSITIVE_REGULATION_OF_INTESTINAL_ABSORPTION	transport
GOBP_POSITIVE_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	amino-acid
GOBP_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY	enzyme
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	lipid
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE	storage
GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	transport
GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_METABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	lipid
GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_TRANSPORT	transport
GOBP_POSITIVE_REGULATION_OF_LYASE_ACTIVITY	enzyme
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	lipid
GOBP_POSITIVE_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY	redox
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS	redox
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	enzyme
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	nucleotide
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS	nucleotide
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	nucleotide
GOBP_POSITIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT	transport
GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	enzyme
GOBP_POSITIVE_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	regulation
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_TRANSPORT	transport
GOBP_POSITIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	redox
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	redox
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_NUTRIENT_LEVELS	regulation
GOBP_POSITIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	other
GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	other
GOBP_POSITIVE_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_STEROL_TRANSPORT	transport
GOBP_POSITIVE_REGULATION_OF_THYROID_HORMONE_GENERATION	other
GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING	regulation
GOBP_POSITIVE_REGULATION_OF_TORC1_SIGNALING	regulation
GOBP_POSITIVE_REGULATION_OF_TORC2_SIGNALING	regulation
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_GLUCOSE	regulation
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_POSITIVE_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	cofactor
GOBP_PRIMARY_ALCOHOL_BIOSYNTHETIC_PROCESS	other
GOBP_PRIMARY_ALCOHOL_CATABOLIC_PROCESS	other
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS	other
GOBP_PRIMARY_AMINO_COMPOUND_BIOSYNTHETIC_PROCESS	other
GOBP_PROGESTERONE_BIOSYNTHETIC_PROCESS	lipid
GOBP_PROGESTERONE_METABOLIC_PROCESS	lipid
GOBP_PROLINE_METABOLIC_PROCESS	amino-acid
GOBP_PROLINE_TRANSMEMBRANE_TRANSPORT	amino-acid
GOBP_PROLINE_TRANSPORT	amino-acid
GOBP_PROSTAGLANDIN_SECRETION	lipid
GOBP_PROSTAGLANDIN_TRANSPORT	transport
GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS	lipid
GOBP_PROSTANOID_CATABOLIC_PROCESS	lipid
GOBP_PROSTANOID_METABOLIC_PROCESS	lipid
